"","Mark","JD","bd_load","log_bd_load"
"745",2613,166,40740.76716,10.6150090653742
"746",2616,155,208362.1285,12.2470376466245
"747",2616,166,89565.80917,11.4027400969651
"748",2616,189,4827.470667,8.482285064417
"749",2627,188,1648.213692,7.40805390300541
"750",2628,155,62245.41005,11.0388561427845
"751",2629,188,0,0
"752",2641,99,2096.439314,7.64847250538407
"753",2650,99,913.5339139,6.81841455177972
"754",2654,99,0,0
"755",2655,92,0,0
"756",2659,75,0,0
"757",2660,139,22843.96226,10.0364859019934
"758",2660,188,1729.918533,7.4564074905216
"759",2666,78,0,0
"760",2667,92,0,0
"761",2669,166,7350.519693,8.90266233178716
"762",2673,99,0,0
"763",2699,135,13759.03413,9.52952359186217
"764",2712,75,0,0
"765",2718,75,0,0
"766",2720,188,3746.518664,8.22884921035127
"767",2724,187,23523.23745,10.0657865494755
"768",2731,142,1185.964854,7.07915478507274
"769",2732,162,278.7324508,5.63383361349956
"770",2739,80,149.7218537,5.01543610971739
"771",2754,162,866.8358567,6.76600259159338
"772",2757,155,11603.83544,9.35917713851321
"773",2757,191,2163.195597,7.67980402266547
"774",2769,155,109210.0002,11.6010370716518
"775",2775,104,0,0
"776",2775,134,0,0
"777",2775,163,0,0
"778",2781,155,469126.4618,13.0586297840654
"779",2787,168,1360.983372,7.21669727811805
"780",2799,155,26268.80224,10.1761753546726
"781",2800,92,0,0
"782",2820,141,722.6356897,6.58428807472053
"783",2820,191,1265.280007,7.14383875281419
"784",2826,139,29595.84482,10.2954230407117
"785",2826,168,31532.15679,10.3587948677304
"786",2836,188,0,0
